branches,branch misses,LLC,LLC misses,branch miss rate,LLC miss rate,type
211395593,5517860,29570775,9281137,0.026102,0.313862,1
227637847,5215207,27196326,9699670,0.02291,0.356654,1
217675852,5265957,29338580,8979769,0.024192,0.306074,1
211330397,5052738,28095548,9063099,0.023909,0.322581,1
207492692,4680287,29447496,9223826,0.022556,0.31323,1
217187152,4470441,26683884,8963550,0.020583,0.335916,1
212668298,5086751,27498350,9018890,0.023919,0.327979,1
213165880,4679875,27852086,9025726,0.021954,0.324059,1
224336071,5345632,30285579,9318233,0.023829,0.307679,1
212809271,5059920,29464225,9279449,0.023777,0.31494,1
208009727,4989186,30018933,9321147,0.023985,0.310509,1
209625363,4977359,28310528,8864375,0.023744,0.313112,1
206937483,4882967,28426112,9317615,0.023596,0.327784,1
228135297,5472957,30786479,10196832,0.02399,0.331211,1
228089966,5195678,29514876,9887084,0.022779,0.334986,1
182892998,4501612,26838911,9279376,0.024613,0.345743,1
178198503,4458386,28314556,8871564,0.025019,0.313322,1
221255242,5276563,30157232,8791249,0.023848,0.291514,1
200428129,5022376,30480959,9083481,0.025058,0.298005,1
209794012,5014903,28275187,9032571,0.023904,0.319452,1
190047820,4747423,28788517,9364415,0.02498,0.325283,1
228457550,5402588,31040152,9604899,0.023648,0.309435,1
193157290,5265936,27721972,9105009,0.027262,0.32844,1
208502906,5022452,29400904,9479813,0.024088,0.322433,1
209768703,4946246,29956266,8581716,0.02358,0.286475,1
202115198,4959376,30440574,9025268,0.024537,0.296488,1
219645967,5063465,28528709,9600868,0.023053,0.336534,1
202839562,4587174,29718340,8660656,0.022615,0.291425,1
232952156,4872326,28424931,9272434,0.020916,0.326208,1
207178034,4952087,28895788,9130710,0.023903,0.315988,1
186079730,4977907,26002501,9126364,0.026751,0.35098,1
209037867,4682015,29587165,8814599,0.022398,0.29792,1
214208921,5070219,28587180,8697358,0.02367,0.30424,1
198593611,4913642,28102219,9254417,0.024742,0.329313,1
206624158,5206760,27163739,9029613,0.025199,0.332414,1
205410007,4488438,28310660,8960158,0.021851,0.316494,1
202945031,4899801,29006254,9233684,0.024143,0.318334,1
